codigo_do_usuario,criador,data_recebido,data_de_perda,data_de_ganho,tipo_de_venda,passagem,canal_de_aquisicao,docs_italiano,parente_italiano
14154,automacao,2023-10-17,2023-11-02,,retorno,nao,redes sociais,"nenhum, mas sei onde obter documentos",nao informado
14155,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14156,vendedor loja,2023-06-21,2023-07-08,,1venda - manual,Sim,,,nao informado
14157,automacao,2023-06-21,2023-07-03,,1venda - site,nao,outros,"nenhum, mas sei onde obter documentos",nao informado
14158,automacao,2023-06-21,2023-07-04,,retorno,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14159,automacao,2023-06-21,2023-07-21,,1venda - site,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14160,automacao,2023-06-21,2023-07-01,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14161,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14162,automacao,2023-06-21,2023-07-15,,1venda - site,Sim,parcerias,algumas certidoes de nascimento/casamento/obito,nao informado
14163,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14164,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14165,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14166,automacao,2023-06-21,2023-06-21,,1venda - site,nao,midia paga,tenho todos os documentos,nao informado
14167,automacao,2023-06-21,2023-06-24,,1venda - site,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14168,automacao,2023-06-21,2023-06-26,,1venda - site,nao,parcerias,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14169,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14170,vendedor loja,2023-06-21,2023-07-15,,1venda - manual,Sim,,,nao informado
14171,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14172,automacao,2023-06-21,2023-06-23,,1venda - site,nao,parcerias,algumas certidoes de nascimento/casamento/obito,nao informado
14173,automacao,2023-06-21,2023-06-21,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14174,automacao,2023-06-21,2023-07-03,,1venda - site,nao,outros,"nenhum, mas sei onde obter documentos",nao informado
14175,automacao,2023-06-21,2023-06-22,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14176,automacao,2023-06-21,2023-06-26,,1venda - site,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14177,automacao,2023-06-21,2023-06-26,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14178,vendedor loja,2023-06-21,2023-07-15,,1venda - manual,Sim,,,nao informado
14179,automacao,2023-06-21,,2023-08-02,retorno,Sim,,"nenhum, mas sei onde obter documentos",nao informado
14180,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
